,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Easy On Me",Adele,1693075,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
56,"ULTRA SOLO","Polimá Westcoast",1675281,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
57,"X ÚLTIMA VEZ","Daddy Yankee",1638097,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
58,"Bad Habits","Ed Sheeran",1628804,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
59,"Wait a Minute!",WILLOW,1619172,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
60,"THATS WHAT I WANT","Lil Nas X",1618266,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
61,"Enséñame a Bailar","Bad Bunny",1616794,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
62,"Another Love","Tom Odell",1598095,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
63,Dandelions,"Ruth B.",1581153,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
64,Jordan,"Ryan Castro",1577894,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
65,"Watermelon Sugar","Harry Styles",1571552,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
66,"Fuera del mercado","Danny Ocean",1570996,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
67,Pepas,Farruko,1564344,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
68,"Blinding Lights","The Weeknd",1524739,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
69,"El Apagón","Bad Bunny",1523286,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
70,"Sweater Weather","The Neighbourhood",1512557,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
71,"Until I Found You","Stephen Sanchez",1489781,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
72,Callaita,"Bad Bunny",1459675,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
73,"My Universe",Coldplay,1442992,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
74,"Dua Lipa","Jack Harlow",1417077,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
75,"Light Switch","Charlie Puth",1413780,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
76,traitor,"Olivia Rodrigo",1412912,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
77,Agosto,"Bad Bunny",1397488,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
78,Boyfriend,"Dove Cameron",1386782,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
79,"House of Memories","Panic! At The Disco",1380115,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
80,"Mr. Morale","Kendrick Lamar",1370861,https://open.spotify.com/track/7zvfDihYiJ8RQ1nRcpKBF5
81,Yonaguni,"Bad Bunny",1367876,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
82,"That That (prod. & feat. SUGA of BTS)",PSY,1353671,https://open.spotify.com/track/5oH4DQAuu1J1800RzUsBWa
83,"Kiss Me More (feat. SZA)","Doja Cat",1352885,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
84,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1332092,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
85,"drivers license","Olivia Rodrigo",1309796,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
86,"In The Stars","Benson Boone",1308642,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
87,"Rich - Interlude","Kendrick Lamar",1308316,https://open.spotify.com/track/2Az5ykbQiZtFWtACCMvWlP
88,"Levitating (feat. DaBaby)","Dua Lipa",1307529,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
89,"I Love You So","The Walters",1303688,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
90,SUPERMODEL,Måneskin,1301556,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR
