,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",7970962,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Ojitos Lindos","Bad Bunny",5195456,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
3,"Moscow Mule","Bad Bunny",5086826,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
4,"Me Porto Bonito","Bad Bunny",5051588,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,"Tití Me Preguntó","Bad Bunny",4371305,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
6,Party,"Bad Bunny",4022193,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
7,"First Class","Jack Harlow",3971884,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
8,N95,"Kendrick Lamar",3741760,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
9,"About Damn Time",Lizzo,3631886,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
10,PROVENZA,"KAROL G",3529564,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
11,"Heat Waves","Glass Animals",3461889,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12,Tarot,"Bad Bunny",2975459,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
13,"Después de la Playa","Bad Bunny",2934664,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
14,"STAY (with Justin Bieber)","The Kid LAROI",2853152,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
15,"Die Hard","Kendrick Lamar",2790580,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
16,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2765259,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
17,"Un Ratito","Bad Bunny",2577905,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
18,"MIDDLE OF THE NIGHT","Elley Duhé",2445365,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
19,"Cold Heart - PNAU Remix","Elton John",2428570,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
20,Efecto,"Bad Bunny",2377136,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
21,"Cooped Up (with Roddy Ricch)","Post Malone",2271029,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
22,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2261832,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
23,"Yo No Soy Celoso","Bad Bunny",2256299,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
24,"Una Noche en Medellín","Cris Mj",2211042,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
25,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2191845,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
26,"Me Fui de Vacaciones","Bad Bunny",2151136,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
27,Ghost,"Justin Bieber",2138525,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
28,Neverita,"Bad Bunny",2138388,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
29,MAMIII,"Becky G",2113947,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
30,"La Corriente","Bad Bunny",2063602,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
31,Woman,"Doja Cat",2003219,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
32,"WAIT FOR U (feat. Drake & Tems)",Future,1976244,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
33,Shivers,"Ed Sheeran",1969782,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
34,Andrea,"Bad Bunny",1957556,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
35,Desesperados,"Rauw Alejandro",1924433,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
36,Envolver,Anitta,1870703,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
37,"Father Time (feat. Sampha)","Kendrick Lamar",1852107,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
38,"Where Are You Now","Lost Frequencies",1834737,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
39,"United In Grief","Kendrick Lamar",1827036,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
40,abcdefu,GAYLE,1824396,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
41,"Un Coco","Bad Bunny",1807032,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
42,"Dos Mil 16","Bad Bunny",1802612,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
43,Aguacero,"Bad Bunny",1795804,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
44,"good 4 u","Olivia Rodrigo",1785254,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
45,"Otro Atardecer","Bad Bunny",1774889,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
46,"Rich Spirit","Kendrick Lamar",1728217,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
47,"Easy On Me",Adele,1722434,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
48,"The Motto",Tiësto,1721555,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
49,"ULTRA SOLO","Polimá Westcoast",1713769,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
50,"Silent Hill","Kendrick Lamar",1688856,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
51,"Watermelon Sugar","Harry Styles",1673697,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
52,"Bad Habits","Ed Sheeran",1669962,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
53,"Another Love","Tom Odell",1653065,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
54,"Un Verano Sin Ti","Bad Bunny",1648015,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
55,"Until I Found You","Stephen Sanchez",1634128,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
56,"THATS WHAT I WANT","Lil Nas X",1631976,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
57,Jordan,"Ryan Castro",1628615,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
58,"Wait a Minute!",WILLOW,1627301,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
59,"X ÚLTIMA VEZ","Daddy Yankee",1619670,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
60,Pepas,Farruko,1607185,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
61,Dandelions,"Ruth B.",1587920,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
62,"Blinding Lights","The Weeknd",1569791,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
63,"Enséñame a Bailar","Bad Bunny",1561972,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
64,"Fuera del mercado","Danny Ocean",1555525,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
65,"Sweater Weather","The Neighbourhood",1537921,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66,"Count Me Out","Kendrick Lamar",1513823,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
67,"El Apagón","Bad Bunny",1468227,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
68,"My Universe",Coldplay,1455811,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
69,Callaita,"Bad Bunny",1434019,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
70,traitor,"Olivia Rodrigo",1417497,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
71,"Light Switch","Charlie Puth",1416073,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
72,Savior,"Kendrick Lamar",1413193,https://open.spotify.com/track/0YeUVm23SAkUruwEx9LWnt
73,"Kiss Me More (feat. SZA)","Doja Cat",1384780,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
74,"Te Felicito",Shakira,1380172,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
75,"Dua Lipa","Jack Harlow",1380012,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
76,Boyfriend,"Dove Cameron",1379586,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
77,"House of Memories","Panic! At The Disco",1371855,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
78,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1371169,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
79,Agosto,"Bad Bunny",1346484,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
80,"Levitating (feat. DaBaby)","Dua Lipa",1343748,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
81,"drivers license","Olivia Rodrigo",1335854,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
82,"In The Stars","Benson Boone",1320772,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
83,"Need to Know","Doja Cat",1315532,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
84,"We Cry Together","Kendrick Lamar",1313631,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
85,"I Love You So","The Walters",1300625,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
