,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",7650185,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Ojitos Lindos","Bad Bunny",5162340,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
3,"Moscow Mule","Bad Bunny",5077113,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
4,"Me Porto Bonito","Bad Bunny",4911297,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,"Tití Me Preguntó","Bad Bunny",4275110,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
6,"First Class","Jack Harlow",4047991,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
7,N95,"Kendrick Lamar",4038499,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
8,Party,"Bad Bunny",3969234,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"About Damn Time",Lizzo,3616712,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
10,PROVENZA,"KAROL G",3527206,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
11,"Heat Waves","Glass Animals",3490494,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12,"Die Hard","Kendrick Lamar",3025805,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
13,Tarot,"Bad Bunny",2988988,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
14,"Después de la Playa","Bad Bunny",2943878,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
15,"STAY (with Justin Bieber)","The Kid LAROI",2814549,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
16,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2762616,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
17,"Un Ratito","Bad Bunny",2564875,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
18,"MIDDLE OF THE NIGHT","Elley Duhé",2442738,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
19,"Cold Heart - PNAU Remix","Elton John",2403073,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
20,Efecto,"Bad Bunny",2278441,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
21,"Yo No Soy Celoso","Bad Bunny",2271173,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
22,"Cooped Up (with Roddy Ricch)","Post Malone",2271069,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
23,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2261477,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
24,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2194323,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
25,"Una Noche en Medellín","Cris Mj",2170229,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
26,"Me Fui de Vacaciones","Bad Bunny",2153943,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
27,Neverita,"Bad Bunny",2139337,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
28,Ghost,"Justin Bieber",2134170,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
29,"United In Grief","Kendrick Lamar",2071231,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
30,"Father Time (feat. Sampha)","Kendrick Lamar",2070989,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
31,"La Corriente","Bad Bunny",2061631,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
32,MAMIII,"Becky G",2059764,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
33,Woman,"Doja Cat",1991263,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
34,"WAIT FOR U (feat. Drake & Tems)",Future,1985213,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
35,Andrea,"Bad Bunny",1976369,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
36,Shivers,"Ed Sheeran",1962721,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
37,"Rich Spirit","Kendrick Lamar",1889458,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
38,Desesperados,"Rauw Alejandro",1867525,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
39,"Silent Hill","Kendrick Lamar",1859572,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
40,Envolver,Anitta,1852701,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
41,abcdefu,GAYLE,1833763,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
42,"Dos Mil 16","Bad Bunny",1832852,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
43,"Un Coco","Bad Bunny",1820573,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
44,"Where Are You Now","Lost Frequencies",1813152,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
45,Aguacero,"Bad Bunny",1793098,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
46,"Otro Atardecer","Bad Bunny",1792652,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
47,"good 4 u","Olivia Rodrigo",1770590,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
48,"The Motto",Tiësto,1729373,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
49,"Easy On Me",Adele,1696601,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
50,"Count Me Out","Kendrick Lamar",1685603,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
51,"ULTRA SOLO","Polimá Westcoast",1683330,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
52,"Bad Habits","Ed Sheeran",1655052,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
53,"Un Verano Sin Ti","Bad Bunny",1654809,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
