,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",7595737,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Ojitos Lindos","Bad Bunny",5144165,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
3,"Moscow Mule","Bad Bunny",5138217,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
4,N95,"Kendrick Lamar",5060646,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
5,"Me Porto Bonito","Bad Bunny",4706462,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
6,"First Class","Jack Harlow",4143201,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
7,"Tití Me Preguntó","Bad Bunny",4014769,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
8,Party,"Bad Bunny",3764652,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"Die Hard","Kendrick Lamar",3749187,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
10,"About Damn Time",Lizzo,3563728,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
11,PROVENZA,"KAROL G",3410034,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
12,"Heat Waves","Glass Animals",3372483,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
13,"United In Grief","Kendrick Lamar",3019448,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
14,"Después de la Playa","Bad Bunny",2999068,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
15,Tarot,"Bad Bunny",2980430,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
16,"Father Time (feat. Sampha)","Kendrick Lamar",2913208,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
17,"STAY (with Justin Bieber)","The Kid LAROI",2737184,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
18,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2682688,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
19,"Rich Spirit","Kendrick Lamar",2643976,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
20,"Un Ratito","Bad Bunny",2554265,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
21,"Silent Hill","Kendrick Lamar",2512519,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
22,"MIDDLE OF THE NIGHT","Elley Duhé",2422489,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
23,"Count Me Out","Kendrick Lamar",2377475,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
24,"Yo No Soy Celoso","Bad Bunny",2325487,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
25,"Me Fui de Vacaciones","Bad Bunny",2294349,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
26,"Cold Heart - PNAU Remix","Elton John",2293771,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
27,"We Cry Together","Kendrick Lamar",2290641,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
28,"Worldwide Steppers","Kendrick Lamar",2264701,https://open.spotify.com/track/5p56JT5F9a1z9pwXnqTg7d
29,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2217978,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
30,Efecto,"Bad Bunny",2214660,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
31,"Cooped Up (with Roddy Ricch)","Post Malone",2184683,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
32,Neverita,"Bad Bunny",2182093,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
33,Savior,"Kendrick Lamar",2148393,https://open.spotify.com/track/0YeUVm23SAkUruwEx9LWnt
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2131584,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
35,"Una Noche en Medellín","Cris Mj",2096509,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
36,Ghost,"Justin Bieber",2096250,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
37,"Purple Hearts","Kendrick Lamar",2092646,https://open.spotify.com/track/401160izncPtca3CmX3dvM
38,"La Corriente","Bad Bunny",2084570,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
39,Andrea,"Bad Bunny",2009180,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
40,MAMIII,"Becky G",1981997,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
41,"WAIT FOR U (feat. Drake & Tems)",Future,1981896,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
42,Woman,"Doja Cat",1913682,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
