,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",8118577,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Moscow Mule","Bad Bunny",5803509,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
3,N95,"Kendrick Lamar",5700562,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
4,"Ojitos Lindos","Bad Bunny",5330013,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
5,"Me Porto Bonito","Bad Bunny",5029344,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
6,"First Class","Jack Harlow",4592191,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
7,"Die Hard","Kendrick Lamar",4530696,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
8,"United In Grief","Kendrick Lamar",4301429,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
9,"Tití Me Preguntó","Bad Bunny",4283854,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
10,Party,"Bad Bunny",4223802,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
11,"Father Time (feat. Sampha)","Kendrick Lamar",3957352,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
12,"About Damn Time",Lizzo,3897593,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
13,PROVENZA,"KAROL G",3810104,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
14,"Heat Waves","Glass Animals",3797713,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
15,"Rich Spirit","Kendrick Lamar",3532761,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
16,"Después de la Playa","Bad Bunny",3518899,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
17,"We Cry Together","Kendrick Lamar",3400604,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
18,"Worldwide Steppers","Kendrick Lamar",3378600,https://open.spotify.com/track/5p56JT5F9a1z9pwXnqTg7d
19,Tarot,"Bad Bunny",3361176,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
20,"Silent Hill","Kendrick Lamar",3326493,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
21,"Count Me Out","Kendrick Lamar",3195894,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
