,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,N95,"Kendrick Lamar",9537225,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
2,"United In Grief","Kendrick Lamar",8772125,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
3,"As It Was","Harry Styles",8351275,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
4,"Die Hard","Kendrick Lamar",7616311,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
5,"Father Time (feat. Sampha)","Kendrick Lamar",6917607,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
6,"Worldwide Steppers","Kendrick Lamar",6912283,https://open.spotify.com/track/5p56JT5F9a1z9pwXnqTg7d
7,"Moscow Mule","Bad Bunny",6120069,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
8,"Rich Spirit","Kendrick Lamar",6057560,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
9,"We Cry Together","Kendrick Lamar",5997925,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
10,"Ojitos Lindos","Bad Bunny",5584630,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
11,"Purple Hearts","Kendrick Lamar",5495450,https://open.spotify.com/track/401160izncPtca3CmX3dvM
12,"Silent Hill","Kendrick Lamar",5327489,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
13,"Count Me Out","Kendrick Lamar",5255474,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
14,"Me Porto Bonito","Bad Bunny",5194729,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
15,"Rich - Interlude","Kendrick Lamar",5114852,https://open.spotify.com/track/2Az5ykbQiZtFWtACCMvWlP
16,"First Class","Jack Harlow",4848390,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
17,Savior,"Kendrick Lamar",4576962,https://open.spotify.com/track/0YeUVm23SAkUruwEx9LWnt
18,"Tití Me Preguntó","Bad Bunny",4463447,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
19,Party,"Bad Bunny",4408622,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
20,Crown,"Kendrick Lamar",4218809,https://open.spotify.com/track/2IwbW2jd0Ncv99Aroe77Ru
21,"About Damn Time",Lizzo,4088930,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
22,PROVENZA,"KAROL G",3919598,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
23,"Mr. Morale","Kendrick Lamar",3839429,https://open.spotify.com/track/7zvfDihYiJ8RQ1nRcpKBF5
24,"Auntie Diaries","Kendrick Lamar",3816621,https://open.spotify.com/track/19Fg3WrTfo35Ji3PtfZE6J
25,"Heat Waves","Glass Animals",3799208,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
26,"Después de la Playa","Bad Bunny",3690124,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
27,Tarot,"Bad Bunny",3654338,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
28,"Savior - Interlude","Kendrick Lamar",3640226,https://open.spotify.com/track/5PPUw4Xo3Hz6rl4GpBfd3c
29,"Mother I Sober (feat. Beth Gibbons of Portishead)","Kendrick Lamar",3272066,https://open.spotify.com/track/6NZOc8kO0Fxo0fLPvIdLnW
30,Mirror,"Kendrick Lamar",3214315,https://open.spotify.com/track/5LOiuvbH62YGtnwe6Ltt4T
31,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",3118381,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
32,"Un Ratito","Bad Bunny",3100490,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
