,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",8128748,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Moscow Mule","Bad Bunny",6022744,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
3,"Ojitos Lindos","Bad Bunny",5242282,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",4843607,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,"First Class","Jack Harlow",4675382,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
6,"Tití Me Preguntó","Bad Bunny",4351416,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
7,Party,"Bad Bunny",4335346,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
8,"About Damn Time",Lizzo,3868195,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
9,PROVENZA,"KAROL G",3761784,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
10,"Heat Waves","Glass Animals",3671769,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,Tarot,"Bad Bunny",3602632,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
12,"Después de la Playa","Bad Bunny",3574764,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
13,"Un Ratito","Bad Bunny",3117082,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
14,"STAY (with Justin Bieber)","The Kid LAROI",2980706,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
15,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2938084,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
16,"Yo No Soy Celoso","Bad Bunny",2889920,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
17,"Me Fui de Vacaciones","Bad Bunny",2878650,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
18,Neverita,"Bad Bunny",2692598,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
19,"La Corriente","Bad Bunny",2603922,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
20,Efecto,"Bad Bunny",2586965,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
21,"MIDDLE OF THE NIGHT","Elley Duhé",2564941,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
22,"Cold Heart - PNAU Remix","Elton John",2557886,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
23,"The Heart Part 5","Kendrick Lamar",2549134,https://open.spotify.com/track/5MMW4CZsZiZt2iuqAXzzWC
24,"Dos Mil 16","Bad Bunny",2451645,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
25,Andrea,"Bad Bunny",2441335,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
26,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2392803,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
27,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2387586,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
28,"Un Coco","Bad Bunny",2363639,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
29,MAMIII,"Becky G",2355782,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
30,"Un Verano Sin Ti","Bad Bunny",2286362,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
