,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",7189935,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Moscow Mule","Bad Bunny",4893355,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
3,"Ojitos Lindos","Bad Bunny",4632945,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,N95,"Kendrick Lamar",4523761,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
5,"Me Porto Bonito","Bad Bunny",4316547,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
6,"First Class","Jack Harlow",3911295,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
7,"Tití Me Preguntó","Bad Bunny",3728658,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
8,Party,"Bad Bunny",3581099,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"Die Hard","Kendrick Lamar",3442939,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
10,"Heat Waves","Glass Animals",3364607,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,"About Damn Time",Lizzo,3292602,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
12,PROVENZA,"KAROL G",3241470,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
13,"Después de la Playa","Bad Bunny",2912849,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
14,"United In Grief","Kendrick Lamar",2877440,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
15,Tarot,"Bad Bunny",2773495,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
16,"Father Time (feat. Sampha)","Kendrick Lamar",2760320,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
17,"STAY (with Justin Bieber)","The Kid LAROI",2675023,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
18,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2558110,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
