,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",9759656,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",5977409,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Ojitos Lindos","Bad Bunny",4680258,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",4672777,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,Matilda,"Harry Styles",4655885,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
6,"Music For a Sushi Restaurant","Harry Styles",4480451,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
7,"Moscow Mule","Bad Bunny",4321462,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
8,"Little Freak","Harry Styles",4105616,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
9,"Tití Me Preguntó","Bad Bunny",4022665,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
10,Daylight,"Harry Styles",3938086,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
11,Grapejuice,"Harry Styles",3851167,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
12,Party,"Bad Bunny",3512153,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
13,Satellite,"Harry Styles",3488795,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
14,Cinema,"Harry Styles",3483448,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
15,"Love Of My Life","Harry Styles",3393620,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
16,Daydreaming,"Harry Styles",3342873,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
17,"About Damn Time",Lizzo,3335009,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
18,"First Class","Jack Harlow",3326562,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
19,"Keep Driving","Harry Styles",3258322,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
20,"Heat Waves","Glass Animals",3257143,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,PROVENZA,"KAROL G",3169886,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
22,Boyfriends,"Harry Styles",2975228,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
23,"STAY (with Justin Bieber)","The Kid LAROI",2657463,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,"Después de la Playa","Bad Bunny",2559362,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
25,N95,"Kendrick Lamar",2498733,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
26,Tarot,"Bad Bunny",2476999,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
27,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2449567,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
28,"MIDDLE OF THE NIGHT","Elley Duhé",2274085,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
29,"Cold Heart - PNAU Remix","Elton John",2249187,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
30,Efecto,"Bad Bunny",2169226,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
31,"Un Ratito","Bad Bunny",2132282,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
32,"Una Noche en Medellín","Cris Mj",2071809,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
33,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2068128,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
34,MAMIII,"Becky G",1992902,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
35,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1990919,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
36,Ghost,"Justin Bieber",1930135,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
37,"Yo No Soy Celoso","Bad Bunny",1871616,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
38,"Die Hard","Kendrick Lamar",1835301,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
39,Woman,"Doja Cat",1835298,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
40,"Me Fui de Vacaciones","Bad Bunny",1809940,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
41,Neverita,"Bad Bunny",1787492,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
42,Shivers,"Ed Sheeran",1743810,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
43,Desesperados,"Rauw Alejandro",1728472,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
44,"WAIT FOR U (feat. Drake & Tems)",Future,1725541,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
45,"Cooped Up (with Roddy Ricch)","Post Malone",1721244,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
46,Envolver,Anitta,1717221,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
47,"La Corriente","Bad Bunny",1701725,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
48,"good 4 u","Olivia Rodrigo",1633290,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
49,"Watermelon Sugar","Harry Styles",1632703,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
50,"Where Are You Now","Lost Frequencies",1622307,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
51,Andrea,"Bad Bunny",1619016,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
52,"Until I Found You","Stephen Sanchez",1603110,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
53,abcdefu,GAYLE,1603044,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
54,Dandelions,"Ruth B.",1531389,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
55,Jordan,"Ryan Castro",1528109,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
56,"ULTRA SOLO","Polimá Westcoast",1525318,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
57,"Wait a Minute!",WILLOW,1511792,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
58,"Easy On Me",Adele,1501830,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
59,"Another Love","Tom Odell",1501280,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
60,"Bad Habits","Ed Sheeran",1497276,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
61,"THATS WHAT I WANT","Lil Nas X",1467402,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
62,Pepas,Farruko,1459574,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
63,Aguacero,"Bad Bunny",1456390,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
64,"Blinding Lights","The Weeknd",1438423,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
65,"Sweater Weather","The Neighbourhood",1437041,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66,"The Motto",Tiësto,1436910,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
67,"Un Coco","Bad Bunny",1435435,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
68,"Otro Atardecer","Bad Bunny",1435402,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
69,"Dos Mil 16","Bad Bunny",1424948,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
70,"X ÚLTIMA VEZ","Daddy Yankee",1361444,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
71,"Fuera del mercado","Danny Ocean",1328942,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
72,"Te Felicito",Shakira,1321245,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
73,traitor,"Olivia Rodrigo",1321240,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
74,"Un Verano Sin Ti","Bad Bunny",1317762,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
75,"Light Switch","Charlie Puth",1298487,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
76,"My Universe",Coldplay,1282991,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
77,"Enséñame a Bailar","Bad Bunny",1270668,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
78,"I Love You So","The Walters",1263450,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
79,Boyfriend,"Dove Cameron",1257632,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
80,"Kiss Me More (feat. SZA)","Doja Cat",1250267,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
81,Callaita,"Bad Bunny",1229927,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
82,"House of Memories","Panic! At The Disco",1229196,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
83,"drivers license","Olivia Rodrigo",1225540,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
84,"Levitating (feat. DaBaby)","Dua Lipa",1196574,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
85,"El Apagón","Bad Bunny",1186428,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
86,Infinity,"Jaymes Young",1168546,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
87,"deja vu","Olivia Rodrigo",1155423,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
88,"Rich Spirit","Kendrick Lamar",1154838,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
89,505,"Arctic Monkeys",1152518,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
90,"Save Your Tears","The Weeknd",1142102,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
91,"Need to Know","Doja Cat",1138665,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
92,SUPERMODEL,Måneskin,1124637,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR
93,"ACORDA PEDRINHO","Jovem Dionisio",1117574,https://open.spotify.com/track/6hFwju6M40CKovKBPu5IpY
94,"Thousand Miles","The Kid LAROI",1109704,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
95,"Angel Baby","Troye Sivan",1105848,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
96,Yonaguni,"Bad Bunny",1104403,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
97,"Happier Than Ever","Billie Eilish",1096244,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
98,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1090905,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
