,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",9383394,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Ojitos Lindos","Bad Bunny",5575562,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
3,"Me Porto Bonito","Bad Bunny",5419535,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
4,"Late Night Talking","Harry Styles",5255551,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
5,"Tití Me Preguntó","Bad Bunny",4489126,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
6,"Moscow Mule","Bad Bunny",4486141,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
7,Matilda,"Harry Styles",3824060,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
8,Party,"Bad Bunny",3769783,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"About Damn Time",Lizzo,3599685,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
10,"First Class","Jack Harlow",3473154,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
11,PROVENZA,"KAROL G",3463144,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
12,"Heat Waves","Glass Animals",3452358,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
13,"Music For a Sushi Restaurant","Harry Styles",3440157,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
14,"Little Freak","Harry Styles",3281760,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
15,Daylight,"Harry Styles",3054023,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
16,"STAY (with Justin Bieber)","The Kid LAROI",2886522,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
17,Grapejuice,"Harry Styles",2875810,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
18,Efecto,"Bad Bunny",2832381,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
19,Satellite,"Harry Styles",2791819,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
20,Tarot,"Bad Bunny",2753282,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
21,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2714297,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
22,"Después de la Playa","Bad Bunny",2703407,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
23,Cinema,"Harry Styles",2616268,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
24,"Love Of My Life","Harry Styles",2615011,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
25,Daydreaming,"Harry Styles",2517502,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
26,"Keep Driving","Harry Styles",2504960,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
27,"MIDDLE OF THE NIGHT","Elley Duhé",2471901,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
28,N95,"Kendrick Lamar",2448766,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
29,"Cold Heart - PNAU Remix","Elton John",2436520,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
