,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",12062874,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",7181557,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Music For a Sushi Restaurant","Harry Styles",5569890,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
4,"Ojitos Lindos","Bad Bunny",5458482,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
5,"Me Porto Bonito","Bad Bunny",5443853,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
6,Matilda,"Harry Styles",5370306,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
7,"Moscow Mule","Bad Bunny",5115414,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
8,"Little Freak","Harry Styles",4855419,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
9,Grapejuice,"Harry Styles",4794374,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
10,Daylight,"Harry Styles",4774841,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
11,"Tití Me Preguntó","Bad Bunny",4646575,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
12,Cinema,"Harry Styles",4291018,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
13,Party,"Bad Bunny",4117648,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
14,Satellite,"Harry Styles",4093009,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
15,Daydreaming,"Harry Styles",4074338,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
16,"Love Of My Life","Harry Styles",4035549,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
17,"Keep Driving","Harry Styles",3904680,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
18,"First Class","Jack Harlow",3900249,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
19,"About Damn Time",Lizzo,3867121,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
20,PROVENZA,"KAROL G",3801042,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
21,Boyfriends,"Harry Styles",3634064,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
