,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",9697358,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",5660866,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Ojitos Lindos","Bad Bunny",5471773,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",5218448,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,"Moscow Mule","Bad Bunny",4450397,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
6,"Tití Me Preguntó","Bad Bunny",4356701,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
7,Matilda,"Harry Styles",4284527,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
8,"Music For a Sushi Restaurant","Harry Styles",3829265,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
9,Party,"Bad Bunny",3695931,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
10,"Little Freak","Harry Styles",3651085,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
11,"About Damn Time",Lizzo,3576677,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
12,"First Class","Jack Harlow",3555610,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
13,"Heat Waves","Glass Animals",3439318,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
14,Daylight,"Harry Styles",3399258,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
15,PROVENZA,"KAROL G",3383047,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
16,Grapejuice,"Harry Styles",3228322,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
17,Satellite,"Harry Styles",3115649,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
18,"Love Of My Life","Harry Styles",2949493,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
19,Cinema,"Harry Styles",2923892,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
20,"STAY (with Justin Bieber)","The Kid LAROI",2861428,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
21,Daydreaming,"Harry Styles",2826899,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
22,"Keep Driving","Harry Styles",2806048,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
23,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2717727,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
24,Efecto,"Bad Bunny",2702070,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
25,Tarot,"Bad Bunny",2693419,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
26,"Después de la Playa","Bad Bunny",2640660,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
27,N95,"Kendrick Lamar",2574234,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
28,"MIDDLE OF THE NIGHT","Elley Duhé",2506595,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
29,Boyfriends,"Harry Styles",2482287,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
30,"Cold Heart - PNAU Remix","Elton John",2388062,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
31,"Un Ratito","Bad Bunny",2325725,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2263150,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
33,Ghost,"Justin Bieber",2150456,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2141808,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
35,MAMIII,"Becky G",2087945,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
36,"Una Noche en Medellín","Cris Mj",2061644,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
37,Woman,"Doja Cat",2013067,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
38,"Yo No Soy Celoso","Bad Bunny",2006589,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
39,Shivers,"Ed Sheeran",1926443,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
40,"Cooped Up (with Roddy Ricch)","Post Malone",1920785,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
41,"Die Hard","Kendrick Lamar",1898398,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
