,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,Dandelions,"Ruth B.",1614706,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
57,"ULTRA SOLO","Polimá Westcoast",1607579,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
58,"Another Love","Tom Odell",1606041,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
59,Aguacero,"Bad Bunny",1599723,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
60,"Un Coco","Bad Bunny",1582194,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
61,"Bad Habits","Ed Sheeran",1560923,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
62,"Otro Atardecer","Bad Bunny",1560188,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
63,"The Motto",Tiësto,1555671,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
64,"THATS WHAT I WANT","Lil Nas X",1547857,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
65,"Dos Mil 16","Bad Bunny",1546980,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
66,Jordan,"Ryan Castro",1527138,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
67,"Sweater Weather","The Neighbourhood",1521017,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
68,"Blinding Lights","The Weeknd",1499239,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
69,"Te Felicito",Shakira,1477122,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
70,"Un Verano Sin Ti","Bad Bunny",1452502,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
71,"Fuera del mercado","Danny Ocean",1429987,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
72,"X ÚLTIMA VEZ","Daddy Yankee",1416847,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
73,Pepas,Farruko,1399736,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
74,traitor,"Olivia Rodrigo",1388240,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
75,"Enséñame a Bailar","Bad Bunny",1372733,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
76,"Light Switch","Charlie Puth",1360269,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
77,"ACORDA PEDRINHO","Jovem Dionisio",1357547,https://open.spotify.com/track/6hFwju6M40CKovKBPu5IpY
78,"My Universe",Coldplay,1349924,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
79,Boyfriend,"Dove Cameron",1336724,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
80,"House of Memories","Panic! At The Disco",1314074,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
81,"Kiss Me More (feat. SZA)","Doja Cat",1309912,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
82,"I Love You So","The Walters",1309489,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
83,"drivers license","Olivia Rodrigo",1298655,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
84,Callaita,"Bad Bunny",1277095,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
85,"Rich Spirit","Kendrick Lamar",1272260,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
