,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",14067115,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",10105889,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Music For a Sushi Restaurant","Harry Styles",8690034,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
4,Grapejuice,"Harry Styles",7523026,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
5,Matilda,"Harry Styles",7513826,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
6,"Little Freak","Harry Styles",7153121,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
7,Daylight,"Harry Styles",7150350,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
8,Cinema,"Harry Styles",6380315,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
9,Daydreaming,"Harry Styles",6028378,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
10,"Love Of My Life","Harry Styles",5882283,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
11,Satellite,"Harry Styles",5833176,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
12,"Keep Driving","Harry Styles",5751740,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
13,Boyfriends,"Harry Styles",5556969,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
14,"Ojitos Lindos","Bad Bunny",5542541,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
15,"Me Porto Bonito","Bad Bunny",5452021,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
16,"Moscow Mule","Bad Bunny",5218571,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
17,"Tití Me Preguntó","Bad Bunny",4628589,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
