,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",9878251,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",5925159,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Ojitos Lindos","Bad Bunny",5295813,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",5163558,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,"Moscow Mule","Bad Bunny",4563683,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
6,Matilda,"Harry Styles",4554145,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
7,"Tití Me Preguntó","Bad Bunny",4317217,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
8,"Music For a Sushi Restaurant","Harry Styles",4102284,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
9,"Little Freak","Harry Styles",3890945,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
10,Party,"Bad Bunny",3711373,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
11,Daylight,"Harry Styles",3687851,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
12,"About Damn Time",Lizzo,3559568,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
13,"First Class","Jack Harlow",3543306,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
14,Grapejuice,"Harry Styles",3517948,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
15,Satellite,"Harry Styles",3390140,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
16,"Heat Waves","Glass Animals",3371142,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
17,PROVENZA,"KAROL G",3364877,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
18,"Love Of My Life","Harry Styles",3221388,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
19,Cinema,"Harry Styles",3198679,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
20,Daydreaming,"Harry Styles",3104979,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
21,"Keep Driving","Harry Styles",3057336,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
22,"STAY (with Justin Bieber)","The Kid LAROI",2796038,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
23,Boyfriends,"Harry Styles",2738463,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
24,Tarot,"Bad Bunny",2712109,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
25,N95,"Kendrick Lamar",2702549,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
26,"Después de la Playa","Bad Bunny",2634129,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
27,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2628768,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
28,Efecto,"Bad Bunny",2600347,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
29,"MIDDLE OF THE NIGHT","Elley Duhé",2460467,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
30,"Un Ratito","Bad Bunny",2341165,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
31,"Cold Heart - PNAU Remix","Elton John",2319537,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2211825,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
33,Ghost,"Justin Bieber",2130492,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
