,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,716003,https://open.spotify.com/track/5YSR0sWUZk7NuIbkycxndu
56,"K.O. (feat. Coez & Marracash)",Gemitaiz,712044,https://open.spotify.com/track/7sYJw5AwPw30ZyLdvuEtg0
57,"About Damn Time",Lizzo,700492,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
58,Matilda,"Harry Styles",697997,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
59,"Pornstar (feat. Sfera Ebbasta)",Gemitaiz,694542,https://open.spotify.com/track/2r0uxpCJHJC6KDNEVNQAM2
60,Password,Luchè,693361,https://open.spotify.com/track/1WXNkrOGGFpG7tjMVHLzxr
61,"NESSUNO (feat. Geolier)",Lazza,687876,https://open.spotify.com/track/0HdrGJfHWYG5A0cNhiMDG4
62,Bandana,LDA,671119,https://open.spotify.com/track/58HolqEVJPGEMB4s3vQhMW
63,"CICATRICI (feat. Madame)",ARIETE,669870,https://open.spotify.com/track/7FSEYn1LL9UemeYeuXCHRm
64,Caos,"Fabri Fibra",656442,https://open.spotify.com/track/5ychvxJuts6RyjQz2aoXqY
65,"LAPROVINCE #1",Rhove,656391,https://open.spotify.com/track/2Z9uQAn8v8m6ZPFh4bsqY4
66,Bisous,Medy,649264,https://open.spotify.com/track/74lz9d1soQih0k9QtN0acn
67,"Little Freak","Harry Styles",647766,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
68,Adesso,Gemitaiz,647108,https://open.spotify.com/track/1v1ltuBMogS2CxJUW7yCyY
69,"DRARI (feat. Baby Gang)",Ghali,645175,https://open.spotify.com/track/0MiX0Ui5JQkd4nwu7D7qQb
70,"Pastello Bianco","Pinguini Tattici Nucleari",642448,https://open.spotify.com/track/0bKDQionn4VKcgNKbs4SWX
71,"Music For a Sushi Restaurant","Harry Styles",634572,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
72,Bones,"Imagine Dragons",631997,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
73,Silenzio,Gemitaiz,628613,https://open.spotify.com/track/5Eay94uxOnd2XrnybXoDfm
74,"LUNA PIENA (con IRAMA)",Rkomi,622642,https://open.spotify.com/track/6z7tGTD6yvyloEm6K2H8EX
75,"SESSO OCCASIONALE",Tananai,612110,https://open.spotify.com/track/0Dz9zyx2w3zYtRK6yp3VKD
76,"Top (feat. MadMan)",Gemitaiz,583590,https://open.spotify.com/track/2aH4Ec7vu87IeXFrtjtR17
77,Goyard,"Capo Plaza",580742,https://open.spotify.com/track/3e9L7P1Cu91OWiak39QUkH
78,"2step (feat. Ultimo)","Ed Sheeran",574118,https://open.spotify.com/track/7mxEWcW3A0jULs64ckyq9k
79,Daylight,"Harry Styles",559654,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
80,"Fuera del mercado","Danny Ocean",556044,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
81,Paraocchi,BLANCO,550356,https://open.spotify.com/track/40zkeKA3HRN8Nzo6kbNOCp
82,"TRAVESURAS (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo)",SLF,549122,https://open.spotify.com/track/2LxEDzVro56jdFydwjwQL6
83,BENEF,"Simba La Rue",547880,https://open.spotify.com/track/5AV8mcCebGTtk8DmCeHAZl
84,"Eclissi (feat. Neffa)",Gemitaiz,541271,https://open.spotify.com/track/2hgeR92aGWwz0ymQfwbIk8
85,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,541123,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
86,"Angelina Jolie",Bresh,537645,https://open.spotify.com/track/6BQAc2HhuDupDytILiSkZe
87,Paranoia,"Baby Gang",532470,https://open.spotify.com/track/4ZPmb48JaAysD1OdQEt5LL
88,Envolver,Anitta,531723,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
89,Grapejuice,"Harry Styles",524578,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
90,"Star (feat. Shiva)",Paky,521570,https://open.spotify.com/track/4LC3IJxi0FnvPALxJ8k6zw
91,"Ovunque Sarai",Irama,520271,https://open.spotify.com/track/75mCCeBwjfoZtfAPE0SxwO
92,"L’Eccezione - from the Amazon Original Series BANG BANG BABY",Madame,517663,https://open.spotify.com/track/2MyEwJpLReYHq7b8P2ABtk
93,"Love Of My Life","Harry Styles",511534,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
94,"PARTIRE DA TE",Rkomi,511038,https://open.spotify.com/track/4HpqJZ9YSAaVsmfNGAyl9w
95,"Cold Heart - PNAU Remix","Elton John",508256,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
96,"Non Abbiamo Età",Luchè,499840,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
97,"Vita sbagliata",Paky,498056,https://open.spotify.com/track/46k6vPzXj1JYKFqJNghNHA
98,KUMITE,Salmo,494346,https://open.spotify.com/track/6yaNNYWPjkWHbh1jADEyJO
99,"Una Lacrima (feat. Sfera Ebbasta)",Irama,494116,https://open.spotify.com/track/3FfgFuY6NO3f06pB7R6nSs
100,Ferrari,"James Hype",489368,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP
101,malibu,sangiovanni,488550,https://open.spotify.com/track/4p0o4pBoJPxYMXKhYbRzzw
102,ROMANCE,"Fred De Palma",485486,https://open.spotify.com/track/2tkQXP7XlPbtNKj99NepLa
103,"CRAZY LOVE",Marracash,484042,https://open.spotify.com/track/2p5OyhSm5fS90n0Q7R3r6D
104,Pepas,Farruko,483822,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
105,"STAY (with Justin Bieber)","The Kid LAROI",477476,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
106,Satellite,"Harry Styles",473921,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
107,"MIDDLE OF THE NIGHT","Elley Duhé",472241,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
108,"SAPORE – with Tedua",Fedez,470425,https://open.spotify.com/track/3QdtpN3K8s2aDsX6o10KZK
109,Cinema,"Harry Styles",469780,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
110,"La zone (feat. Shiva)",Rhove,467747,https://open.spotify.com/track/2Q1ICiLBk9lmLQz7GhMoWB
111,Seignosse,Rhove,465673,https://open.spotify.com/track/1aHWdsWQooVkRhZL2oU8m2
112,"First Class","Jack Harlow",461360,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
113,"ch1 5ei te","tha Supreme",459625,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
114,"Blu Celeste",BLANCO,449928,https://open.spotify.com/track/0BeXxjO6mgLDzg4xA6UheO
115,Daydreaming,"Harry Styles",449743,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
116,Destri,Gazzelle,446830,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
117,"SOGNI D'ORO",Lazza,444795,https://open.spotify.com/track/2tKH7kT40eTSp8SCf6VKeH
118,"No wallet (feat. Marracash)",Paky,443021,https://open.spotify.com/track/4vU79ET0F49d3bepSr0Aee
119,"X6 (feat. BIA)","Sfera Ebbasta",440688,https://open.spotify.com/track/723BtHZOTCxN2xOselHQpG
120,"NEMESI (feat. BLANCO)",Marracash,440207,https://open.spotify.com/track/4QBXMgfDKmmVrYEqICIPxJ
121,TARANTELLE,"Simba La Rue",436995,https://open.spotify.com/track/0rIAXCnWchb8tQr7wzCvH2
122,"The Motto",Tiësto,436897,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
123,"Freed from Desire",Gala,435648,https://open.spotify.com/track/3Ucr6hQQuY8cZ0UqXV8uO2
124,"Keep Driving","Harry Styles",433485,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
125,"Scrivile Scemo","Pinguini Tattici Nucleari",433259,https://open.spotify.com/track/71r3UlkV7sWvUYjas5paqi
126,"Pistole Nella Fendi","Niko Pandetta",432533,https://open.spotify.com/track/4di7SwWhQnrj0d5yPPS27k
127,STURDY,Rondodasosa,431200,https://open.spotify.com/track/5KYHtcY0dtXkSxZwtVMjgp
128,STUPIDO,"Massimo Pericolo",430113,https://open.spotify.com/track/6HVRRlc2sBlkcKEkhlsp86
129,"Jorge Lorenzo (feat. A$AP Ferg)",Gemitaiz,430056,https://open.spotify.com/track/1MLxLeWBxUubF89EUCPjUz
130,scossa,sangiovanni,425389,https://open.spotify.com/track/7aoU4HfD4yc1LhpyldWFtm
131,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,424314,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
132,"Le Pietre Non Volano (feat. Marracash)",Luchè,423006,https://open.spotify.com/track/3iV5VVzcAcqyCGy5u4ZlbP
133,"No Stress","Marco Mengoni",421731,https://open.spotify.com/track/29ZtjI9Pxk0kuSYhCNrtnA
134,"Mi manchi",Paky,421056,https://open.spotify.com/track/0L2Sq3mlGZsSvrOu15LZSi
135,DETTAGLIO,"Simba La Rue",418324,https://open.spotify.com/track/3slPwAP1lxXwCcyVvss2k1
136,N95,"Kendrick Lamar",418252,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
137,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",416663,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
138,"Ciao Ciao","La rappresentante di lista",416423,https://open.spotify.com/track/52t3V5rNpAYL0JQnOYhNfb
139,"NUN CE PENZÀ",LIBERATO,415984,https://open.spotify.com/track/3PpgbB4N9rMu4c2FKYyANb
