,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"House On Fire","Mimi Webb",747544,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ
57,Overseas,"D-Block Europe",747223,https://open.spotify.com/track/337kcYVjYXdLBItCw9ry3b
58,BMW,"Bad Boy Chiller Crew",734623,https://open.spotify.com/track/3M4lhhcss897JQ0qUp2g8B
59,505,"Arctic Monkeys",724366,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
60,Iris,"The Goo Goo Dolls",722779,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
61,"In The Stars","Benson Boone",699343,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
62,"Easy On Me",Adele,688011,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
63,Ghost,"Justin Bieber",687232,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
64,"Churchill Downs (feat. Drake)","Jack Harlow",680128,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
65,"Father Time (feat. Sampha)","Kendrick Lamar",665366,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
66,"Location (feat. Burna Boy)",Dave,653907,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
67,"Rich Spirit","Kendrick Lamar",650328,https://open.spotify.com/track/6kYGOFNUMxpab09L5Ukoke
68,"Wait a Minute!",WILLOW,647233,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
69,"United In Grief","Kendrick Lamar",642607,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
70,"Anyone For You (Tiger Lily)","George Ezra",634608,https://open.spotify.com/track/5iFQfP3AqVnHHS89LKQisL
71,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",629603,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
72,Lost,"Frank Ocean",620552,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
73,"Clash (feat. Stormzy)",Dave,620051,https://open.spotify.com/track/2zxEc1GCSCxbHIXTfhraRC
74,"Sweater Weather","The Neighbourhood",608874,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
75,Riptide,"Vance Joy",604861,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
76,Dandelions,"Ruth B.",596274,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
77,"Green Green Grass","George Ezra",593535,https://open.spotify.com/track/3rk4aJ0vAj3cFUIQEeASkT
78,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",592870,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
79,"House of Memories","Panic! At The Disco",591347,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
80,"Thousand Miles","The Kid LAROI",591085,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
81,"THATS WHAT I WANT","Lil Nas X",590367,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
82,"No Role Modelz","J. Cole",580069,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
83,SUPERMODEL,Måneskin,578881,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR
84,Brazil,"Declan McKenna",577406,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ
85,"Blinding Lights","The Weeknd",577187,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
86,Charmer,N-Dubz,569720,https://open.spotify.com/track/4scmIAAH81oyNiV9vLthQ0
87,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",553848,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
88,"What Would You Do?","Joel Corry",553187,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
89,abcdefu,GAYLE,542833,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
90,Golden,"Harry Styles",538708,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
91,"No Excuses",Bru-C,538093,https://open.spotify.com/track/3gw91o4at6nDzewF9Hxzs7
92,"Next Up - S4-E2, Pt. 1",JBee,536938,https://open.spotify.com/track/5wwPdWKbDEiybmWkZqsGGn
93,"Light Switch","Charlie Puth",531600,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
