,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",75028417,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",46528433,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Ojitos Lindos","Bad Bunny",37163804,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",36407770,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,Matilda,"Harry Styles",35236379,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
6,"Music For a Sushi Restaurant","Harry Styles",34720813,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
7,"Moscow Mule","Bad Bunny",32693550,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
8,"Little Freak","Harry Styles",31315752,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
9,"Tití Me Preguntó","Bad Bunny",30687981,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
10,Daylight,"Harry Styles",30158062,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
11,Grapejuice,"Harry Styles",29796513,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
12,Party,"Bad Bunny",26602135,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
13,Cinema,"Harry Styles",26540862,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
14,Satellite,"Harry Styles",26496071,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
15,"Love Of My Life","Harry Styles",25728514,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
16,Daydreaming,"Harry Styles",25426931,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
17,"About Damn Time",Lizzo,25408527,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
18,"First Class","Jack Harlow",25366829,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
19,"Keep Driving","Harry Styles",24748453,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
20,PROVENZA,"KAROL G",24237665,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
21,"Heat Waves","Glass Animals",24054490,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
22,Boyfriends,"Harry Styles",22703807,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
23,"STAY (with Justin Bieber)","The Kid LAROI",19918731,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,N95,"Kendrick Lamar",19537353,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
25,Tarot,"Bad Bunny",19349683,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
26,"Después de la Playa","Bad Bunny",19254454,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
27,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",18964429,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
28,Efecto,"Bad Bunny",17718186,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
29,"MIDDLE OF THE NIGHT","Elley Duhé",17157875,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
30,"Cold Heart - PNAU Remix","Elton John",17039498,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
31,"Un Ratito","Bad Bunny",16644865,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",15625670,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
33,"Una Noche en Medellín","Cris Mj",15163805,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
34,MAMIII,"Becky G",15053608,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
35,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",15011514,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
36,Ghost,"Justin Bieber",14727073,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
37,"Yo No Soy Celoso","Bad Bunny",14430096,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
38,"Die Hard","Kendrick Lamar",14379927,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
39,Woman,"Doja Cat",13934574,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
40,"Me Fui de Vacaciones","Bad Bunny",13800483,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
41,Neverita,"Bad Bunny",13665562,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
42,"Cooped Up (with Roddy Ricch)","Post Malone",13570545,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
43,Shivers,"Ed Sheeran",13416166,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
44,"WAIT FOR U (feat. Drake & Tems)",Future,13218523,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
45,"La Corriente","Bad Bunny",13098492,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
