,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Sweater Weather","The Neighbourhood",3007275,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,"THATS WHAT I WANT","Lil Nas X",3001702,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
57,"Thousand Miles","The Kid LAROI",2996020,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
58,MAMIII,"Becky G",2983082,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
59,"Super Gremlin","Kodak Black",2958597,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
60,"Don't Think Jesus","Morgan Wallen",2919323,https://open.spotify.com/track/1TUuhV75FeOF6UObRsABo2
61,"family ties (with Kendrick Lamar)","Baby Keem",2915444,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
62,"Dark Red","Steve Lacy",2911983,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
63,"I Love You So","The Walters",2862478,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
64,"Movie Star (feat. Pharrell Williams)","Jack Harlow",2849493,https://open.spotify.com/track/3u8bblcJtOxxmGzJrviWLp
65,"MIDDLE OF THE NIGHT","Elley Duhé",2846054,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
66,"Kiss Me More (feat. SZA)","Doja Cat",2807813,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
67,"I Got A Shot","Jack Harlow",2800707,https://open.spotify.com/track/5hNsSrWcClSp0tg4Jdd4UY
68,Boyfriend,"Dove Cameron",2779158,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
69,"Side Piece","Jack Harlow",2776168,https://open.spotify.com/track/0203aGEIzVVlmvQ8lX4fmV
70,Shivers,"Ed Sheeran",2739888,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
71,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",2736155,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
72,D.M.B.,"A$AP Rocky",2707136,https://open.spotify.com/track/7IBLt4Qarf4JDLxIQDv2O5
73,"Talk Of The Town","Jack Harlow",2680126,https://open.spotify.com/track/7qFtkIa3KfhJAlWLVE1GCI
74,"See You Again (feat. Kali Uchis)","Tyler, The Creator",2655950,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
75,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",2654490,https://open.spotify.com/track/7qTaDOcld0VmBWXnkbUj45
76,traitor,"Olivia Rodrigo",2643904,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
77,"Monëy so big",Yeat,2596277,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
78,"Wants and Needs (feat. Lil Baby)",Drake,2572120,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
