,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Pepas,Farruko,11806957,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
56,"Wait a Minute!",WILLOW,11782016,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
57,"Churchill Downs (feat. Drake)","Jack Harlow",11694583,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
58,"Fuera del mercado","Danny Ocean",11435986,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
59,"Another Love","Tom Odell",11428788,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
60,"Watermelon Sugar","Harry Styles",11386125,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
61,Jordan,"Ryan Castro",11295849,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
62,"Blinding Lights","The Weeknd",11216791,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
63,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,10757587,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
64,"My Universe",Coldplay,10708641,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
65,Dandelions,"Ruth B.",10702504,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
66,"Sweater Weather","The Neighbourhood",10695256,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
67,"Light Switch","Charlie Puth",10663489,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
68,"Thousand Miles","The Kid LAROI",10601460,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
69,Yonaguni,"Bad Bunny",10433436,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
70,Boyfriend,"Dove Cameron",10207883,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
71,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,9991700,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
72,traitor,"Olivia Rodrigo",9961704,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
73,"House of Memories","Panic! At The Disco",9845252,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
74,"ULTRA SOLO","Polimá Westcoast",9814650,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
75,"Kiss Me More (feat. SZA)","Doja Cat",9809101,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
76,"Beautiful Girl",Luciano,9442894,https://open.spotify.com/track/2XRn6Qu0Wd1KvOND8JbaTx
77,Infinity,"Jaymes Young",9410009,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
78,"Levitating (feat. DaBaby)","Dua Lipa",9323701,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
79,"In The Stars","Benson Boone",9274645,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
80,"Need to Know","Doja Cat",9249777,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
81,"Honest (feat. Don Toliver)","Justin Bieber",9247288,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
82,"drivers license","Olivia Rodrigo",9185077,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
83,"I Love You So","The Walters",8927872,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
84,"Save Your Tears","The Weeknd",8875603,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
85,505,"Arctic Monkeys",8677938,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
86,"PUFFIN ON ZOOTIEZ",Future,8570591,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
87,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",8433694,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
88,"deja vu","Olivia Rodrigo",8393563,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
89,Bones,"Imagine Dragons",8309762,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
90,"Happier Than Ever","Billie Eilish",8247118,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
91,"Te Felicito",Shakira,8244560,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
92,"Angel Baby","Troye Sivan",8206777,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
93,"MONTERO (Call Me By Your Name)","Lil Nas X",7976677,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
94,"No Role Modelz","J. Cole",7906676,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
95,"Without Me",Eminem,7885757,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
96,"Do It To It",ACRAZE,7715826,https://open.spotify.com/track/20on25jryn53hWghthWWW3
97,"With you",Jimin,7696786,https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
98,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",7691264,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
99,DÁKITI,"Bad Bunny",7689462,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
100,"A Tu Merced","Bad Bunny",7683434,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
101,"she's all i wanna be","Tate McRae",7591181,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
102,"Plan A","Paulo Londra",7588987,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
103,"Wildest Dreams (Taylor's Version)","Taylor Swift",7573292,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
104,"TUS LÁGRIMAS",Mora,7505659,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
105,"When You're Gone","Shawn Mendes",7447056,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
106,Softcore,"The Neighbourhood",7421696,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
107,ZOOM,Jessi,7404755,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
108,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7390241,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
109,Pantysito,Alejo,7367679,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
110,Pasoori,"Shae Gill",7353113,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
111,Believer,"Imagine Dragons",7312995,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
112,"LOVE DIVE",IVE,7295173,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
113,"lovely (with Khalid)","Billie Eilish",7241091,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
114,Butter,BTS,7226053,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
115,"Don't Start Now","Dua Lipa",7225404,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
116,Yellow,Coldplay,7151285,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
117,"10 Things I Hate About You","Leah Kate",7147271,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
118,Payphone,"Maroon 5",7066756,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
119,"The Real Slim Shady",Eminem,7065581,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
120,Beggin',Måneskin,7058948,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
121,"Si Quieren Frontear",Duki,7044243,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
122,"Nail Tech","Jack Harlow",7040491,https://open.spotify.com/track/3ioJs8DQw527GmqJIp5gZG
123,"Thought You Should Know","Morgan Wallen",7030983,https://open.spotify.com/track/6NHpyYvJyQsg2nXXzGYc2R
124,"Bohemian Rhapsody - Remastered 2011",Queen,6906016,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
125,"One Right Now (with The Weeknd)","Post Malone",6892072,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
126,Toxic,BoyWithUke,6880244,https://open.spotify.com/track/3M214U0mwSm041GsQR3nrO
127,"Todo De Ti","Rauw Alejandro",6855316,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
128,"Cool for the Summer","Demi Lovato",6835137,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
129,"Tacones Rojos","Sebastian Yatra",6829950,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
130,"Adore You","Harry Styles",6820158,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
131,Flowers,"Lauren Spencer-Smith",6775140,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
132,"Demasiadas Mujeres","C. Tangana",6759842,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
133,Dynamite,BTS,6705373,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
134,"Someone You Loved","Lewis Capaldi",6698633,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
135,"Blank Space","Taylor Swift",6671952,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
136,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6656899,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
137,"Counting Stars",OneRepublic,6631929,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
138,Unstoppable,Sia,6625105,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
139,Medallo,Blessd,6511428,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
140,"Smells Like Teen Spirit - Remastered",Nirvana,6434949,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
141,"love nwantiti (ah ah ah)",CKay,6434147,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
142,"LA CANCIÓN","J Balvin",6433312,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
143,"Dark Red","Steve Lacy",6427853,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
144,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,6426657,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
145,"Shape of You","Ed Sheeran",6380406,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
146,"Locked out of Heaven","Bruno Mars",6321927,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
147,"In My Head","Lil Tjay",6317337,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
148,"Mon Amour - Remix",zzoilo,6293683,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
149,"Sweetest Pie","Megan Thee Stallion",6250728,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
150,Iris,"The Goo Goo Dolls",6231128,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
151,Lost,"Frank Ocean",6178649,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
152,Volví,Aventura,6163625,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
153,"Where Did You Go? (feat. MNEK)","Jax Jones",6159996,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
154,"You Right","Doja Cat",6137921,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
155,"I'M ON ONE (feat. Drake)",Future,6120424,https://open.spotify.com/track/6wyhUr4Xw8z5uSy0AhoZfU
156,Riptide,"Vance Joy",6044362,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
157,"Die For You","The Weeknd",6021421,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
158,"San Lucas","Kevin Kaarl",6008187,https://open.spotify.com/track/75UMtPC77vqKRwfSuYuNPO
159,D.M.B.,"A$AP Rocky",6006747,https://open.spotify.com/track/7IBLt4Qarf4JDLxIQDv2O5
160,happier,"Olivia Rodrigo",6006129,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
161,"La Santa","Bad Bunny",6002734,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
162,"The Nights",Avicii,5989496,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
163,Perfect,"Ed Sheeran",5973173,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
164,"2step (feat. Lil Baby)","Ed Sheeran",5971778,https://open.spotify.com/track/2UN0lp72LAusrXi8LLVomt
165,Revenge,XXXTENTACION,5957487,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
166,"Mr. Brightside","The Killers",5952865,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
167,FEARLESS,"LE SSERAFIM",5935074,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj
168,"Gangsta's Paradise",Coolio,5924976,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
169,"One Dance",Drake,5922966,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
170,Sunroof,"Nicky Youre",5917041,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
171,"Leave The Door Open","Bruno Mars",5892941,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
172,"After Dark",Mr.Kitty,5891238,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
173,"Daddy Issues","The Neighbourhood",5875522,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
174,Heather,"Conan Gray",5851326,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
175,"Hold My Hand","Lady Gaga",5829538,https://open.spotify.com/track/0oWraSo5ASJ0h1BEagTyEw
176,"Something In The Way - Remastered",Nirvana,5825481,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
177,Falling,"Harry Styles",5804088,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
178,"There's Nothing Holdin' Me Back","Shawn Mendes",5756909,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
179,"'Till I Collapse",Eminem,5749036,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
180,"favorite crime","Olivia Rodrigo",5746857,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
181,"Until I Found You","Stephen Sanchez",5738325,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
182,"jealousy, jealousy","Olivia Rodrigo",5737235,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
183,"Still D.R.E.","Dr. Dre",5713453,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
184,"Wake Me Up",Avicii,5706487,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
185,"Oh My God",Adele,5703237,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
186,Vampiro,Matuê,5685032,https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj
187,"I'd Do Anything To Make You Smile","Jack Harlow",5680657,https://open.spotify.com/track/7Bot6AB2dsvZEyqzUL8AUH
188,"No Ouvidinho","Felipe Amorim",5665000,https://open.spotify.com/track/4QWumyD2uwiePBBha9XBHI
189,"Tom's Diner",AnnenMayKantereit,5663563,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
190,"Dance Monkey","Tones And I",5660670,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
191,Circles,"Post Malone",5660381,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
192,Starlight,Dave,5658220,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
193,"Take Me To Church",Hozier,5642773,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
194,"Don't Be Shy",Tiësto,5631204,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
195,Freaks,"Surf Curse",5628231,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
196,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",5622835,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
197,"sentaDONA (Remix) s2","Davi Kneip",5600041,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
198,"Something Just Like This","The Chainsmokers",5548050,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
199,Señorita,"Shawn Mendes",5543424,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
200,Photograph,"Ed Sheeran",5522527,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
