,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",693473,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
56,"House of Memories","Panic! At The Disco",671899,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
57,"This Love (Taylor’s Version)","Taylor Swift",659435,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
58,"THATS WHAT I WANT","Lil Nas X",643609,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
59,abcdefu,GAYLE,632902,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
60,"Light Switch","Charlie Puth",631548,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
61,"Sweater Weather","The Neighbourhood",620213,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
62,Boyfriend,"Dove Cameron",619525,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
63,"Locked Out",S-X,613686,https://open.spotify.com/track/2gpqdIv5iZzssla3QhcS7X
64,"What Would You Do?","Joel Corry",613020,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
65,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",610941,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
66,"Birthday Cake","Dylan Conrique",609025,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
67,"No Role Modelz","J. Cole",605563,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
68,Riptide,"Vance Joy",603831,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
69,"Blinding Lights","The Weeknd",599152,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,Dandelions,"Ruth B.",596693,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
71,"low down",venbee,589858,https://open.spotify.com/track/6OlK1W3yH6V3pr6e81hI0u
72,"Freaky Deaky",Tyga,572457,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
73,"Balling (feat. Songer, Mr Traumatik, Devilman & OneDa) - Edit","Vibe Chemistry",563963,https://open.spotify.com/track/2WObGIQXhjveq6yuXvf6VQ
74,"Make You Smile","D-Block Europe",563823,https://open.spotify.com/track/7au23Qf6zRs72N3RztqUQe
75,"Kiss Me More (feat. SZA)","Doja Cat",560391,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
76,"Still Sleepless",D.O.D,547029,https://open.spotify.com/track/4vyG9ZhHT8MKJE5mTICMFC
77,"In My Head","Lil Tjay",546872,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
78,"Next Up - S4-E2, Pt. 1",JBee,543245,https://open.spotify.com/track/5wwPdWKbDEiybmWkZqsGGn
79,"Thiago Silva",Dave,540796,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
80,"Why'd You Only Call Me When You're High?","Arctic Monkeys",537725,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
81,Tropical,SL,534986,https://open.spotify.com/track/3qIxnOusGoTpHvNVMLHscw
82,"Funky Friday",Dave,534981,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
83,traitor,"Olivia Rodrigo",531151,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
84,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,530995,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
85,"Do I Wanna Know?","Arctic Monkeys",530798,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
86,"Gangsteritus Part 2 (feat. Nines & Tiggs Da Author)","Potter Payper",530071,https://open.spotify.com/track/3Efqg1BYDiVvRa6MLeVogB
87,"Die Hard",Knucks,528267,https://open.spotify.com/track/5VzpAMUOFLlDnhBnx28y9X
88,"Fingers Crossed","Lauren Spencer-Smith",524671,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
89,"Glad U Came (feat. ZieZie)",Liilz,523475,https://open.spotify.com/track/0P88fVbvRQGgRQN1GulQNy
90,"Coming for You (feat. A1 x J1)",SwitchOTR,522309,https://open.spotify.com/track/1xIqDFx3KdByBnKMlTECcM
91,"Dreams - 2004 Remaster","Fleetwood Mac",520687,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
92,"drivers license","Olivia Rodrigo",517677,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
93,"The Real Slim Shady",Eminem,517534,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
94,"One Dance",Drake,507741,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
95,"Obsessed With You","Central Cee",504433,https://open.spotify.com/track/4oxGI8yyghLuMV7ybRG3kg
96,"Without Me",Eminem,500945,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
97,"No Excuses",Bru-C,498506,https://open.spotify.com/track/3gw91o4at6nDzewF9Hxzs7
98,Stan,Eminem,497852,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
99,"Do It To It",ACRAZE,495178,https://open.spotify.com/track/20on25jryn53hWghthWWW3
100,"Daily Duppy","Bugzy Malone",491495,https://open.spotify.com/track/1yu96jq2NsuaNS0U6TBWHI
101,"Nice & Good",Knucks,490870,https://open.spotify.com/track/1EwgD7uCTaEBnRC604kxuK
102,MEAN!,"Madeline The Person",489560,https://open.spotify.com/track/0KQRhak4Irr2CKxgQ9U6ay
103,"Remember (and David Guetta)","Becky Hill",488995,https://open.spotify.com/track/6feiJqgHqeSvkGUzf11AYs
104,"Sex on Fire","Kings of Leon",488703,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
105,Run,"Becky Hill",485835,https://open.spotify.com/track/02em5H1JIgXssJzQKN6h4M
106,Melody,Sigala,483636,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
107,Naive,"The Kooks",482099,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
108,"Wonderwall - Remastered",Oasis,480603,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
109,"Overpass Graffiti","Ed Sheeran",479393,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
110,"Head & Heart (feat. MNEK)","Joel Corry",479145,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
111,"Wildest Dreams (Taylor's Version)","Taylor Swift",475010,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
112,"Adore You","Harry Styles",472703,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
113,"Nail Tech","Jack Harlow",467944,https://open.spotify.com/track/3ioJs8DQw527GmqJIp5gZG
114,Pompeii,Bastille,466200,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795
115,"Need to Know","Doja Cat",465217,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
116,"All For You","Cian Ducrot",464509,https://open.spotify.com/track/29Co9NKhOM5R9vWCrpkPPK
117,"Happier Than Ever","Billie Eilish",464257,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
