,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shakerando,Rhove,2679819,https://open.spotify.com/track/4EC028SvtlC25iHQSG2OIa
2,"Easy (feat. Fivio Foreign)","Sfera Ebbasta",2210915,https://open.spotify.com/track/0DpTRR4HyiDJH4Waoj9hXU
3,"Mamma Mia","Sfera Ebbasta",2117373,https://open.spotify.com/track/7d7xucQmFY7PoESyJm2V9J
4,"BABY GODDAMN",Tananai,1843836,https://open.spotify.com/track/3yWHQ4n4ARLDfYTuT2NhnN
5,"USCITO DI GALERA",Lazza,1791408,https://open.spotify.com/track/01DXwNf1GzEJkYTbXgL0eb
6,"Italiano Anthem","Sfera Ebbasta",1696241,https://open.spotify.com/track/0oMq1JmynUHMCOfH40k7B8
7,"As It Was","Harry Styles",1695967,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
8,Brividi,Mahmood,1680621,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS
9,"Thick (feat. MamboLosco) - Remix",Slings,1605029,https://open.spotify.com/track/08ITDCl9UvAAGzzIOwo4h4
10,"PIOVE (feat. Sfera Ebbasta)",Lazza,1538761,https://open.spotify.com/track/6BUueuMQR4k7CuoMEsnGou
11,"LA CODA DEL DIAVOLO (con ELODIE)",Rkomi,1434364,https://open.spotify.com/track/6oYcyS6salzWI1ysjEScFh
12,"X6 (feat. BIA)","Sfera Ebbasta",1433779,https://open.spotify.com/track/723BtHZOTCxN2xOselHQpG
13,"5 Gocce (feat. Rkomi)",Irama,1421593,https://open.spotify.com/track/3z0GeNGWyVduziP1cQ0mFN
14,"I love you baby",Jovanotti,1376070,https://open.spotify.com/track/1v9ABGLSpdhPDEWyQ10NFD
15,Cancelo,Rhove,1351261,https://open.spotify.com/track/4lstxdn27jZqnTuyaLeJfq
16,"Finché Non Mi Seppelliscono",BLANCO,1338188,https://open.spotify.com/track/16EJNayKtC09M0Fi7Py47s
17,"Sola (feat. Myke Towers)","Sfera Ebbasta",1265727,https://open.spotify.com/track/5LK1zfpswTVPO588AAw6bq
18,"Bagno a mezzanotte",Elodie,1253681,https://open.spotify.com/track/5KkcthkQDnlhQN0WhO8DsM
19,farfalle,sangiovanni,1197699,https://open.spotify.com/track/32KxxVUfXnbdujTh5DGmgu
20,"Pensando a lei",Shiva,1189678,https://open.spotify.com/track/4Yi4RRhp3nfKR1FDbXlHBp
21,Propaganda,"Fabri Fibra",1156379,https://open.spotify.com/track/6t0ovtgnoAq9orbnisSzZp
22,MOLOTOV,Lazza,1095007,https://open.spotify.com/track/6SQmh0L5icrThwGDTeLkg1
