Id User,Username,Verified,Followers,Following,Tweet Count,Location
3095209288,poopyfartstain,False,26,42,113,
1128442824,reyeverdeen,False,3717,182,1583,
1343587573831249920,ChicaWattpad7,False,26,30,586,"Ica, Peru"
232387918,bukola8,False,322,369,62973,
29021722,bksRthenewblack,False,646,717,5774,"Maineville, OH"
901991211732492288,drummereyesafi,False,5360,2697,117166,
1458596443795640322,bellsosa28,False,1,104,110,
1267134392465489920,femkevandenbos3,False,4,19,14,
1486782714447634432,LarryIs83864397,False,71,323,584,"West Chester, PA"
1396632226692046848,strwbrryhs,False,622,661,12338,ltwt
2675784065,CharlotteBirch_,False,263,437,7516," Y Barri, Cymru"
2480148212,ropehes,False,10141,362,46521,
1077991872293945346,emlbrtt,False,345,531,15199,charenthon
4925696349,CandeNaza98,False,1722,2083,842793,"Buenos Aires, Argentina"
1328069866188918785,SEOKJINHES,False,934,603,12698,harry’s house
2379599449,mayg_griffin,False,189,194,4944,
1510367595693813769,satelliteswife,False,668,518,3207,she/her 15 anti 
788794760764985344,bchartsnet,True,386326,1623,54515,Brasil
1530181101641158659,Weedpourtous1,False,0,18,12,
148774349,escentual,True,21811,2651,22194,"Cardiff, UK"
1375230633052622849,AlwaysTommoWay9,False,1510,1845,3409,United States
1345261343289581568,sunflwrsinapril,False,4095,4045,40466,⚓
1523437794919649283,LedbyWords_,False,9,67,122,
929023654511378437,sarahisfucked,False,40,91,3970,"Chicago, IL"
2448421128,kaitlinlexiexx,False,426,1511,35137,
1465587523,yasminamoens,False,302,623,7054,
1511043528306089990,chelltoned,False,2,59,17,The Mitten 🌊
1417336600120369156,GiselaTravel,False,35,191,470,"San Francisco, CA"
1230799549070966791,asiaaxharry,False,1226,1014,29381,"#yellow(n.)harry,louis  niall horan love bot ◟̽◞̽ all harry’s era;in ♡ w/ fetus louis  《zayn and liam's smile saves me》  ⌕5sos biggest love¡safe place"
824302923958063105,viragmolnarr,False,2,44,11,"Toronto, Ontario"
538365284,cIubharry,False,3686,268,50618,
1169982581745573888,jesskatz9,False,68,130,2029,
16365445,toughtotiedown,False,241,577,89185,Bama (myheartisinPittsburgh)
1337004769148342272,Massharry2,False,466,2183,24060,
77951012,bravywavey,False,31158,2939,31126,
1529230712955715585,AnnaLocatii,False,0,36,2,
1199476847521779712,lovesxzouis,False,157,433,4516,Brasil
1151248332137914368,annavbeveren,False,15,37,83,
1164445951,ana_javaddmalik,False,581,1508,9156,Snap: anacarnevalii
396933892,gabbycastano,False,961,702,50018,"Philadelphia, PA"
885614430167457799,WatersOnAir,False,4532,160,21999,
1341977781199130626,HLTheories,False,43274,237,19695,
1008380103762382848,___allthelove9,False,6,40,106,
322348360,kelcy_leach,False,8,57,46,"Chicago, IL"
1413003432101810178,eitakkkkkkkkj,False,280,440,953,
1040286474690801664,raistylestomlin,False,298,646,45368,
898758410203676672,IAmJonnyApollo,False,357,419,76223,"New York, NY"
1092278498,stylesbutxra,False,4293,1449,87035,no stunts 
1439393415704158209,Leelee_eeleel,False,84,368,695,Canada
32138324,de__stijl,False,235,239,1582,she/her 21+
1224702752699375616,GeekPopNews,False,167,93,2525,Belo Horizonte
2989531403,JuliaLoomans74,False,670,3571,30694,"New York, USA"
1305122720976220160,Bluegreenbabies,False,29,43,264,
1196081083210752000,adoredreinhart,False,62,182,1778,she/her•21•uk
242700574,jaxdavids,False,1043,2332,60800,Harry's House 🏡
152841002,julifoiguel,False,124,267,4937,"Buenos Aires, argentina"
1370222779056939010,statisticsHS,False,34871,39,7296,
1270720788178456576,hs_gucci_tpwk,False,14,22,191,"Riga, Latvia"
3385856968,lostonyouvh,False,624,200,10347,"Italia, she/her "
1203008940553883648,_tpwkrylee,False,73,125,2939,TPWK
883581343145308161,TheHSUpdate,False,98505,20,8284,
825121482019835904,CoffeeCatsJA,False,352,385,15740,American Expat in Costa Rica
2786563785,jessarry,False,583,562,11626,ERODA 
262562868,jessicakeppie,False,1215,2504,29268,Australia
1390811455,namasterinn,False,314,364,7255,
1208939676,mtvzou,False,23704,877,24476,"Belém, Brasil"
1384302473263816704,BitchWatchPod,False,912,721,1287,Wherever You Get Podcasts
426031614,mooretoknow,False,51,252,247,"Melbourne, Victoria"
968352141671849984,amandaa_berry,False,58,185,447,
1079916596594991105,TBYOFTEN,False,2902,1336,17405,xotwod
2210835882,danielleklang,False,320,293,3107,NY
1359089368728801282,_inmusic_,False,507,137,6381,
1001526941420318720,martyisbackk,False,772,641,12791,
1434619486930354180,ChartCertFreaks,False,1655,1641,8112,Portugal
1156699191604916224,GabySea_,False,16,70,94,
966411231316905985,mrsdarc97700517,False,840,701,59076,Eroda
1387184265054539780,Yuri_mireligion,False,20,39,818,
313682467,avaliveradio,False,49978,53016,66011,"Miami, Florida"
33420694,JacquelineJax,False,32452,29563,49651,"Toronto, Ontario"
1495603803713945600,Lullznh,False,1,23,449,
1422912332041179142,stepieniowa,False,205,282,1996,
3180289876,haylorssversion,False,1384,1319,13120,Harry’s House 🏡
529390120,lizzdirections,False,892,183,25873,finland/barcelona
1456909385364643842,kal1esl1ck,False,5,54,398,"Madisonville, KY"
1475202922870882304,Styles_B22,False,22,123,2143,💚
3139202077,NoTYaTherapist,False,70,97,1197,
895741672570728448,bluishmeri,False,84,107,372,Málaga
119778252,palomareyesc,False,167,374,3656,"stgo, chile"
202270774,MGreer_PR,False,4825,4366,38629,London (Ealing) and York.
1396964318705487872,KiwiDiscos,False,1198,895,668,
1284541143494139904,phoebefrancii,False,72,284,1170,
